銘柄コード,会社名,優先市場,業種
3150,グリムス,ｼﾞｬｽﾀﾞｯｸ,卸売業
3151,バイタルケーエスケー･HD,東証1,卸売業
3153,八洲電機,東証1,卸売業
3154,メディアスHD,東証1,卸売業
3156,レスターHD,東証1,卸売業
3157,ジューテックHD,東証1,卸売業
3159,丸善CHIHD,東証1,小売業
3160,大光,東証1,卸売業
3161,アゼアス,東証2,卸売業
3166,OCHIHD,東証1,卸売業
3167,TOKAIHD,東証1,卸売業
3168,黒谷,東証1,卸売業
3169,ミサワ,東証1,小売業
3171,マックスバリュ九州,ｼﾞｬｽﾀﾞｯｸ,小売業
3172,ティーライフ,東証1,小売業
3173,Cominix,東証1,卸売業
3174,ハピネス･アンド･ディ,ｼﾞｬｽﾀﾞｯｸ,小売業
3175,エー･ピーカンパニー,東証1,小売業
3176,三洋貿易,東証1,卸売業
3177,ありがとうサービス,ｼﾞｬｽﾀﾞｯｸ,小売業
3178,チムニー,東証1,小売業
3179,シュッピン,東証1,小売業
3180,ビューティガレージ,東証1,卸売業
3181,買取王国,ｼﾞｬｽﾀﾞｯｸ,小売業
3182,オイシックス･ラ･大地,東証1,小売業
3183,ウイン･パートナーズ,東証1,卸売業
3184,ICDAHD,東証2,小売業
3185,夢展望,マザーズ,小売業
3186,ネクステージ,東証1,小売業
3187,サンワカンパニー,マザーズ,小売業
3189,ANAP,ｼﾞｬｽﾀﾞｯｸ,小売業
3190,ホットマン,ｼﾞｬｽﾀﾞｯｸ,小売業
3191,ジョイフル本田,東証1,小売業
3192,白鳩,ｼﾞｬｽﾀﾞｯｸ,小売業
3193,鳥貴族,東証1,小売業
3194,キリン堂HD,東証1,小売業
3195,ジェネレーションパス,マザーズ,小売業
3196,ホットランド,東証1,小売業
3197,すかいらーくHD,東証1,小売業
3198,SFPHD,東証1,小売業
3199,綿半HD,東証1,小売業
3201,日本毛織,東証1,繊維製品
3204,トーア紡コーポレーション,東証1,繊維製品
3205,ダイドーリミテッド,東証1,繊維製品
3221,ヨシックス,東証1,小売業
3222,ユナイテッド･スーパーマーケット･HD,東証1,小売業
3223,エスエルディー,ｼﾞｬｽﾀﾞｯｸ,小売業
3224,ゼネラル･オイスター,マザーズ,小売業
3228,三栄建築設計,東証1,不動産業
3231,野村不動産HD,東証1,不動産業
3232,三重交通GHD,東証1,不動産業
3234,森ヒルズリート,東証1,REIT
3236,プロパスト,ｼﾞｬｽﾀﾞｯｸ,不動産業
3237,イントランス,マザーズ,不動産業
3238,セントラル総合開発,東証2,不動産業
3241,ウィル,東証2,不動産業
3242,アーバネットコーポレーション,ｼﾞｬｽﾀﾞｯｸ,不動産業
3244,サムティ,東証1,不動産業
3245,ディア･ライフ,東証1,不動産業
3246,コーセーアールイー,東証1,不動産業
3248,アールエイジ,東証2,不動産業
3252,日本商業開発,東証1,不動産業
3254,プレサンスコーポレーション,東証1,不動産業
3258,ユニゾHD,東証1,不動産業
3261,グランディーズ,マザーズ,不動産業
3264,アスコット,ｼﾞｬｽﾀﾞｯｸ,不動産業
3266,ファンドクリエーションG,ｼﾞｬｽﾀﾞｯｸ,不動産業
3267,フィル･カンパニー,東証1,建設業
3271,THEグローバル社,東証1,不動産業
3275,ハウスコム,東証1,不動産業
3276,日本管理センター,東証1,不動産業
3277,サンセイランディック,東証1,不動産業
3280,エストラスト,東証1,不動産業
3284,フージャースHD,東証1,不動産業
3286,トラストHD,マザーズ,不動産業
3288,オープンハウス,東証1,不動産業
3289,東急不動産HD,東証1,不動産業
3291,飯田GHD,東証1,不動産業
3293,アズマハウス,ｼﾞｬｽﾀﾞｯｸ,不動産業
3294,イーグランド,東証1,不動産業
3297,東武住販,ｼﾞｬｽﾀﾞｯｸ,不動産業
3299,ムゲンエステート,東証1,不動産業
3300,AMBITION,マザーズ,不動産業
3302,帝国繊維,東証1,繊維製品
3306,日本製麻,東証2,卸売業
3315,日本コークス工業,東証1,石油・石炭製品
3316,東京日産コンピュータシステム,ｼﾞｬｽﾀﾞｯｸ,卸売業
3317,フライングガーデン,ｼﾞｬｽﾀﾞｯｸ,小売業
3319,ゴルフダイジェスト･オンライン,東証1,小売業
3320,クロスプラス,東証2,卸売業
3321,ミタチ産業,東証1,卸売業
3322,アルファG,ｼﾞｬｽﾀﾞｯｸ,卸売業
3323,レカム,ｼﾞｬｽﾀﾞｯｸ,卸売業
3326,ランシステム,ｼﾞｬｽﾀﾞｯｸ,サービス業
3328,BEENOS,東証1,小売業
3329,東和フードサービス,ｼﾞｬｽﾀﾞｯｸ,小売業
3333,あさひ,東証1,小売業
3341,日本調剤,東証1,小売業
3344,ワンダーコーポレーション,ｼﾞｬｽﾀﾞｯｸ,小売業
3347,トラスト,東証2,小売業
3349,コスモス薬品,東証1,小売業
3350,レッド･プラネット･ジャパン,ｼﾞｬｽﾀﾞｯｸ,卸売業
3352,バッファロー,ｼﾞｬｽﾀﾞｯｸ,小売業
3353,メディカル一光G,ｼﾞｬｽﾀﾞｯｸ,小売業
3355,クリヤマHD,東証2,卸売業
3356,テリロジー,ｼﾞｬｽﾀﾞｯｸ,卸売業
3358,ワイエスフード,ｼﾞｬｽﾀﾞｯｸ,小売業
3359,タイセイ,マザーズ,卸売業
3360,シップヘルスケアHD,東証1,卸売業
3361,トーエル,東証1,小売業
3370,フジタコーポレーション,ｼﾞｬｽﾀﾞｯｸ,小売業
3371,ソフトクリエイトHD,東証1,情報・通信業
3372,関門海,東証2,小売業
3374,内外テック,ｼﾞｬｽﾀﾞｯｸ,卸売業
3375,ZOA,ｼﾞｬｽﾀﾞｯｸ,小売業
3376,オンリー,東証1,小売業
3377,バイク王&カンパニー,東証2,卸売業
3382,セブン&アイ･HD,東証1,小売業
3386,コスモ･バイオ,ｼﾞｬｽﾀﾞｯｸ,卸売業
3387,クリエイト･レストランツ･HD,東証1,小売業
3388,明治電機工業,東証1,卸売業
3390,INEST,ｼﾞｬｽﾀﾞｯｸ,卸売業
3391,ツルハHD,東証1,小売業
3392,デリカフーズHD,東証1,卸売業
3393,スターティアHD,東証1,卸売業
3395,サンマルクHD,東証1,小売業
3396,フェリシモ,東証1,小売業
3397,トリドールHD,東証1,小売業
3399,丸千代山岡家,ｼﾞｬｽﾀﾞｯｸ,小売業
3401,帝人,東証1,繊維製品
3402,東レ,東証1,繊維製品
3405,クラレ,東証1,化学
3407,旭化成,東証1,化学
3408,サカイオーベックス,東証1,繊維製品
3409,北日本紡績,東証2,繊維製品
3415,TOKYO BASE,東証1,小売業
3416,ピクスタ,マザーズ,小売業
3417,大木ヘルスケアHD,ｼﾞｬｽﾀﾞｯｸ,卸売業
3418,バルニバービ,マザーズ,小売業
3420,ケー･エフ･シー,東証2,金属製品
3421,稲葉製作所,東証1,金属製品
3423,エスイー,ｼﾞｬｽﾀﾞｯｸ,金属製品
3424,ミヤコ,ｼﾞｬｽﾀﾞｯｸ,金属製品
3426,アトムリビンテック,ｼﾞｬｽﾀﾞｯｸ,金属製品
3431,宮地エンジニアリングG,東証1,金属製品
3433,トーカロ,東証1,金属製品
3434,アルファCo,東証1,金属製品
3435,サンコーテクノ,東証2,金属製品
3436,SUMCO,東証1,金属製品
3437,特殊電極,ｼﾞｬｽﾀﾞｯｸ,金属製品
3439,三ツ知,ｼﾞｬｽﾀﾞｯｸ,金属製品
3440,日創プロニティ,東証2,金属製品
3441,山王,ｼﾞｬｽﾀﾞｯｸ,金属製品
3443,川田テクノロジーズ,東証1,金属製品
3444,菊池製作所,ｼﾞｬｽﾀﾞｯｸ,金属製品
3445,RS Technologies,東証1,金属製品
3446,ジェイテックコーポレーション,マザーズ,金属製品
3447,信和,東証1,金属製品
3449,テクノフレックス,東証2,金属製品
3452,ビーロット,東証1,不動産業
3454,ファーストブラザーズ,東証1,不動産業
3457,ハウスドゥ,東証1,不動産業
3458,シーアールイー,東証1,不動産業
3461,パルマ,マザーズ,不動産業
3464,プロパティエージェント,東証1,不動産業
3465,ケイアイスター不動産,東証1,不動産業
3467,アグレ都市デザイン,東証1,不動産業
3469,デュアルタップ,東証2,不動産業
3474,G-FACTORY,マザーズ,不動産業
3475,グッドコムアセット,東証1,不動産業
3477,フォーライフ,マザーズ,不動産業
3479,ティーケーピー,マザーズ,不動産業
3480,ジェイ･エス･ビー,東証1,不動産業
3482,ロードスターキャピタル,マザーズ,不動産業
3484,テンポイノベーション,東証1,不動産業
3486,グローバル･リンク･マネジメント,東証1,不動産業
3489,フェイスネットワーク,マザーズ,不動産業
3490,アズ企画設計,ｼﾞｬｽﾀﾞｯｸ,不動産業
3491,GA technologies,マザーズ,不動産業
3494,マリオン,ｼﾞｬｽﾀﾞｯｸ,不動産業
3495,香陵住販,ｼﾞｬｽﾀﾞｯｸ,不動産業
3496,アズーム,マザーズ,不動産業
3497,リーガル不動産,マザーズ,不動産業
3498,霞ヶ関キャピタル,マザーズ,不動産業
3501,住江織物,東証1,繊維製品
3512,日本フエルト,東証1,繊維製品
3513,イチカワ,東証1,繊維製品
3515,フジコー,ｼﾞｬｽﾀﾞｯｸ,繊維製品
3521,エコナックHD,東証1,サービス業
3524,日東製網,東証1,繊維製品
3526,芦森工業,東証1,輸送用機器
3528,プロスペクト,東証2,不動産業
3529,アツギ,東証1,繊維製品
3536,アクサスHD,ｼﾞｬｽﾀﾞｯｸ,小売業
3537,昭栄薬品,ｼﾞｬｽﾀﾞｯｸ,卸売業
3538,ウイルプラスHD,東証1,小売業
3539,ジャパンミート,東証1,小売業
3540,歯愛メディカル,ｼﾞｬｽﾀﾞｯｸ,卸売業
3541,農業総合研究所,マザーズ,卸売業
3542,ベガコーポレーション,マザーズ,小売業
3543,コメダHD,東証1,卸売業
3544,サツドラHD,東証1,小売業
3546,アレンザHD,東証1,小売業
3547,串カツ田中HD,東証1,小売業
3548,バロックジャパンリミテッド,東証1,小売業
3549,クスリのアオキHD,東証1,小売業
3550,スタジオアタオ,マザーズ,小売業
3551,ダイニック,東証1,繊維製品
3553,共和レザー,東証1,化学
3556,リネットジャパンG,マザーズ,小売業
3557,ユナイテッド&コレクティブ,マザーズ,小売業
3558,ロコンド,マザーズ,小売業
3559,ピーバンドットコム,東証1,卸売業
3560,ほぼ日,ｼﾞｬｽﾀﾞｯｸ,小売業
3561,力の源HD,東証1,小売業
3562,No.1,ｼﾞｬｽﾀﾞｯｸ,卸売業
3563,スシローグローバルHD,東証1,小売業
3564,LIXILビバ,東証1,小売業
3565,アセンテック,東証1,卸売業
3569,セーレン,東証1,繊維製品
3571,ソトー,東証1,繊維製品
3577,東海染工,東証1,繊維製品
3578,倉庫精練,東証2,繊維製品
3580,小松マテーレ,東証1,繊維製品
3583,オーベクス,東証2,繊維製品
3591,ワコールHD,東証1,繊維製品
3593,ホギメディカル,東証1,繊維製品
3597,自重堂,東証2,繊維製品
3598,山喜,東証2,繊維製品
3600,フジックス,東証2,繊維製品
3604,川本産業,東証2,繊維製品
3606,レナウン,東証1,繊維製品
3607,クラウディアHD,東証1,繊維製品
3608,TSIHD,東証1,繊維製品
3611,マツオカコーポレーション,東証1,繊維製品
3612,ワールド,東証1,繊維製品
3622,ネットイヤーG,マザーズ,情報・通信業
3623,ビリングシステム,マザーズ,情報・通信業
3624,アクセルマーク,マザーズ,情報・通信業
3625,テックファームHD,東証JQG,情報・通信業
3626,TIS,東証1,情報・通信業
3627,ネオス,東証1,情報・通信業
3628,データホライゾン,マザーズ,情報・通信業
3630,電算システム,東証1,情報・通信業
3632,グリー,東証1,情報・通信業
3633,GMOペパボ,東証2,情報・通信業
3634,ソケッツ,マザーズ,情報・通信業
3635,コーエーテクモHD,東証1,情報・通信業
3636,三菱総合研究所,東証1,情報・通信業
3639,ボルテージ,東証1,情報・通信業
3640,電算,東証1,情報・通信業
3641,パピレス,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
3645,メディカルネット,マザーズ,情報・通信業
3646,駅探,マザーズ,情報・通信業
3647,ジー･スリーHD,東証2,情報・通信業
3648,AGS,東証1,情報・通信業
3649,ファインデックス,東証1,情報・通信業
3652,ディジタルメディアプロフェッショナル,マザーズ,情報・通信業
3653,モルフォ,マザーズ,情報・通信業
3655,ブレインパッド,東証1,情報・通信業
3656,KLab,東証1,情報・通信業
3657,ポールトゥウィン･ピットクルーHD,東証1,情報・通信業
3658,イーブックイニシアティブジャパン,東証1,情報・通信業
3659,ネクソン,東証1,情報・通信業
3660,アイスタイル,東証1,情報・通信業
3661,エムアップ,東証1,情報・通信業
3662,エイチーム,東証1,情報・通信業
3663,アートスパークHD,東証2,情報・通信業
3664,モブキャストHD,マザーズ,情報・通信業
3665,エニグモ,東証1,情報・通信業
3666,テクノスジャパン,東証1,情報・通信業
3667,enish,東証1,情報・通信業
3668,コロプラ,東証1,情報・通信業
3670,協立情報通信,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
3671,ソフトマックス,マザーズ,情報・通信業
3672,オルトプラス,東証1,情報・通信業
3673,ブロードリーフ,東証1,情報・通信業
3674,オークファン,マザーズ,情報・通信業
3675,クロス･マーケティングG,東証1,情報・通信業
3676,デジタルハーツHD,東証1,情報・通信業
3677,システム情報,東証1,情報・通信業
3678,メディアドゥHD,東証1,情報・通信業
3679,じげん,東証1,情報・通信業
3680,ホットリンク,マザーズ,情報・通信業
3681,ブイキューブ,東証1,情報・通信業
3682,エンカレッジ･テクノロジ,東証1,情報・通信業
3683,サイバーリンクス,東証1,情報・通信業
3686,ディー･エル･イー,東証1,情報・通信業
3687,フィックスターズ,東証1,情報・通信業
3688,CARTA HOLDINGS,東証1,情報・通信業
3689,イグニス,マザーズ,情報・通信業
3690,イルグルム,マザーズ,情報・通信業
3691,リアルワールド,マザーズ,情報・通信業
3692,FFRI,マザーズ,情報・通信業
3694,オプティム,東証1,情報・通信業
3695,GMOリサーチ,マザーズ,情報・通信業
3696,セレス,東証1,情報・通信業
3697,SHIFT,東証1,情報・通信業
3698,CRI･ミドルウェア,マザーズ,情報・通信業
3708,特種東海製紙,東証1,パルプ・紙
3710,ジョルダン,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
3712,情報企画,東証2,情報・通信業
3719,ジェクシード,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
3723,日本ファルコム,マザーズ,情報・通信業
3726,フォーシーズHD,東証2,小売業
3727,アプリックス,マザーズ,情報・通信業
3733,ソフトウェア･サービス,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
3738,ティーガイア,東証1,情報・通信業
3741,セック,東証1,情報・通信業
3744,サイオス,東証2,情報・通信業
3747,インタートレード,東証2,情報・通信業
3750,FRACTALE,東証2,情報・通信業
3751,日本アジアG,東証1,情報・通信業
3753,フライトHD,東証2,情報・通信業
3756,豆蔵HD,東証1,情報・通信業
3758,アエリア,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
3760,ケイブ,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
3762,テクマトリックス,東証1,情報・通信業
3763,プロシップ,東証1,情報・通信業
3765,ガンホー･オンライン･エンターテイメント,東証1,情報・通信業
3766,システムズ･デザイン,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
3768,リスクモンスター,東証2,情報・通信業
3769,GMOペイメントゲートウェイ,東証1,情報・通信業
3770,ザッパラス,東証1,情報・通信業
3771,システムリサーチ,東証1,情報・通信業
3772,ウェルス･マネジメント,東証2,不動産業
3773,アドバンスト･メディア,マザーズ,情報・通信業
3774,インターネットイニシアティブ,東証1,情報・通信業
3776,ブロードバンドタワー,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
3777,FHTHD,東証JQG,情報・通信業
3778,さくらインターネット,東証1,情報・通信業
3779,ジェイ･エスコムHD,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
3782,ディー･ディー･エス,マザーズ,情報・通信業
3784,ヴィンクス,東証1,情報・通信業
3787,テクノマセマティカル,東証2,情報・通信業
3788,GMOクラウド,東証1,情報・通信業
3791,IGポート,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
3793,ドリコム,マザーズ,情報・通信業
3796,いい生活,東証2,情報・通信業
3798,ULSG,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
3799,キーウェアソリューションズ,東証2,情報・通信業
3800,ユニリタ,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
3804,システム ディ,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
3807,フィスコ,東証JQG,情報・通信業
3810,サイバーステップ,東証2,情報・通信業
3814,アルファクス･フード･システム,東証JQG,情報・通信業
3815,メディア工房,マザーズ,情報・通信業
3816,大和コンピューター,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
3817,SRAHD,東証1,情報・通信業
3823,アクロディア,東証2,情報・通信業
3825,リミックスポイント,東証2,情報・通信業
3826,システムインテグレータ,東証1,情報・通信業
3834,朝日ネット,東証1,情報・通信業
3835,eBASE,東証1,情報・通信業
3836,アバント,東証1,情報・通信業
3837,アドソル日進,東証1,情報・通信業
3839,ODKソリューションズ,東証2,情報・通信業
3840,パス,東証2,情報・通信業
3841,ジーダット,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
3842,ネクストジェン,東証JQG,情報・通信業
3843,フリービット,東証1,情報・通信業
3844,コムチュア,東証1,情報・通信業
3845,アイフリークモバイル,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
3847,パシフィックシステム,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
3848,データ･アプリケーション,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
3850,エヌ･ティ･ティ･データ･イントラマート,東証2,情報・通信業
3851,日本一ソフトウェア,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
3852,サイバーコム,東証1,情報・通信業
3853,アステリア,東証1,情報・通信業
3854,アイル,東証1,情報・通信業
3856,Abalance,東証2,電気機器
3857,ラック,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
3858,ユビキタスAIコーポレーション,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
3861,王子HD,東証1,パルプ・紙
3863,日本製紙,東証1,パルプ・紙
3864,三菱製紙,東証1,パルプ・紙
3865,北越コーポレーション,東証1,パルプ・紙
3877,中越パルプ工業,東証1,パルプ・紙
3878,巴川製紙所,東証1,パルプ・紙
3880,大王製紙,東証1,パルプ・紙
3891,ニッポン高度紙工業,ｼﾞｬｽﾀﾞｯｸ,パルプ・紙
3892,岡山製紙,ｼﾞｬｽﾀﾞｯｸ,パルプ・紙
3895,ハビックス,ｼﾞｬｽﾀﾞｯｸ,パルプ・紙
3896,阿波製紙,東証1,パルプ・紙
3900,クラウドワークス,マザーズ,情報・通信業
3901,マークラインズ,東証1,情報・通信業
3902,メディカル･データ･ビジョン,東証1,情報・通信業
3903,gumi,東証1,情報・通信業
3904,カヤック,マザーズ,情報・通信業
3905,データセクション,マザーズ,情報・通信業
3906,ALBERT,マザーズ,情報・通信業
3907,シリコンスタジオ,マザーズ,情報・通信業
3908,コラボス,マザーズ,情報・通信業
3909,ショーケース,東証1,情報・通信業
3910,エムケイシステム,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
3911,Aiming,マザーズ,情報・通信業
3912,モバイルファクトリー,東証1,情報・通信業
3913,sMedio,マザーズ,情報・通信業
3914,JIG-SAW,マザーズ,情報・通信業
3915,テラスカイ,東証1,情報・通信業
3916,デジタル･インフォメーション･テクノロジー,東証1,情報・通信業
3917,アイリッジ,マザーズ,情報・通信業
3918,PCIHD,東証1,情報・通信業
3919,パイプドHD,東証1,情報・通信業
3920,アイビーシー,東証1,情報・通信業
3921,ネオジャパン,東証1,情報・通信業
3922,PR TIMES,東証1,情報・通信業
3923,ラクス,マザーズ,情報・通信業
3924,ランドコンピュータ,東証1,情報・通信業
3925,ダブルスタンダード,東証1,情報・通信業
3926,オープンドア,東証1,情報・通信業
3927,フーバーブレイン,マザーズ,情報・通信業
3928,マイネット,東証1,情報・通信業
3929,ソーシャルワイヤー,マザーズ,情報・通信業
3930,はてな,マザーズ,情報・通信業
3931,バリューゴルフ,マザーズ,情報・通信業
3932,アカツキ,東証1,情報・通信業
3933,チエル,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
3934,ベネフィットジャパン,東証1,情報・通信業
3935,エディア,マザーズ,情報・通信業
3936,グローバルウェイ,マザーズ,情報・通信業
3937,UbicomHD,東証1,情報・通信業
3938,LINE,東証1,情報・通信業
3939,カナミックネットワーク,東証1,情報・通信業
3940,ノムラシステムコーポレーション,東証1,情報・通信業
3941,レンゴー,東証1,パルプ・紙
3944,古林紙工,東証2,パルプ・紙
3945,スーパーバッグ,東証2,パルプ・紙
3946,トーモク,東証1,パルプ・紙
3947,ダイナパック,東証2,パルプ・紙
3948,光ビジネスフォーム,ｼﾞｬｽﾀﾞｯｸ,パルプ・紙
3950,ザ･パック,東証1,パルプ・紙
3951,朝日印刷,東証2,パルプ・紙
3953,大村紙業,ｼﾞｬｽﾀﾞｯｸ,パルプ・紙
3954,昭和パックス,ｼﾞｬｽﾀﾞｯｸ,パルプ・紙
3955,イムラ封筒,東証2,パルプ・紙
3956,国際チャート,ｼﾞｬｽﾀﾞｯｸ,パルプ・紙
3960,バリューデザイン,マザーズ,情報・通信業
3961,シルバーエッグ･テクノロジー,マザーズ,情報・通信業
3962,チェンジ,東証1,情報・通信業
3963,シンクロ･フード,東証1,情報・通信業
3964,オークネット,東証1,情報・通信業
3965,キャピタル･アセット･プランニング,東証2,情報・通信業
3966,ユーザベース,マザーズ,情報・通信業
3967,エルテス,マザーズ,情報・通信業
3968,セグエG,東証1,情報・通信業
3969,エイトレッド,東証1,情報・通信業
3970,イノベーション,マザーズ,情報・通信業
3974,ティビィシィ･スキヤツト,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
3975,AOI TYO Holdings,東証1,情報・通信業
3976,シャノン,マザーズ,情報・通信業
3978,マクロミル,東証1,情報・通信業
3979,うるる,マザーズ,情報・通信業
3981,ビーグリー,東証1,情報・通信業
3983,オロ,東証1,情報・通信業
3984,ユーザーローカル,東証1,情報・通信業
3985,テモナ,東証1,情報・通信業
3986,ビーブレイクシステムズ,マザーズ,情報・通信業
3987,エコモット,マザーズ,情報・通信業
3988,SYSHD,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
3989,シェアリングテクノロジー,マザーズ,情報・通信業
3990,UUUM,マザーズ,情報・通信業
3991,ウォンテッドリー,マザーズ,情報・通信業
3992,ニーズウェル,東証1,情報・通信業
3993,PKSHA Technology,マザーズ,情報・通信業
3994,マネーフォワード,マザーズ,情報・通信業
3995,SKIYAKI,マザーズ,情報・通信業
3996,サインポスト,東証1,情報・通信業
3997,トレードワークス,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
3998,すららネット,マザーズ,情報・通信業
3999,ナレッジスイート,マザーズ,情報・通信業
4004,昭和電工,東証1,化学
4005,住友化学,東証1,化学
4008,住友精化,東証1,化学
4021,日産化学,東証1,化学
4022,ラサ工業,東証1,化学
4023,クレハ,東証1,化学
4025,多木化学,東証1,化学
4026,神島化学工業,東証2,ガラス・土石製品
4027,テイカ,東証1,化学
4028,石原産業,東証1,化学
4031,片倉コープアグリ,東証1,化学
4041,日本曹達,東証1,化学
4042,東ソー,東証1,化学
4043,トクヤマ,東証1,化学
4044,セントラル硝子,東証1,化学
4045,東亞合成,東証1,化学
4046,大阪ソーダ,東証1,化学
4047,関東電化工業,東証1,化学
4061,デンカ,東証1,化学
4062,イビデン,東証1,電気機器
4063,信越化学工業,東証1,化学
4064,日本カーバイド工業,東証1,化学
4078,堺化学工業,東証1,化学
4080,田中化学研究所,ｼﾞｬｽﾀﾞｯｸ,化学
4082,第一稀元素化学工業,東証1,化学
4088,エア･ウォーター,東証1,化学
4091,大陽日酸,東証1,化学
4092,日本化学工業,東証1,化学
4093,東邦アセチレン,東証1,化学
4094,日本化学産業,東証2,化学
4095,日本パーカライジング,東証1,化学
4097,高圧ガス工業,東証1,化学
4098,チタン工業,東証1,化学
4099,四国化成工業,東証1,化学
4100,戸田工業,東証1,化学
4102,丸尾カルシウム,東証2,化学
4107,伊勢化学工業,東証2,化学
4109,ステラ ケミファ,東証1,化学
4112,保土谷化学工業,東証1,化学
4113,田岡化学工業,東証2,化学
4114,日本触媒,東証1,化学
4115,本州化学工業,東証2,化学
4116,大日精化工業,東証1,化学
4118,カネカ,東証1,化学
4119,日本ピグメント,東証2,化学
4120,スガイ化学工業,東証2,化学
4124,大阪油化工業,ｼﾞｬｽﾀﾞｯｸ,化学
4151,協和キリン,東証1,医薬品
4182,三菱瓦斯化学,東証1,化学
4183,三井化学,東証1,化学
4185,JSR,東証1,化学
4186,東京応化工業,東証1,化学
4187,大阪有機化学工業,東証1,化学
4188,三菱ケミカルHD,東証1,化学
4189,KHネオケム,東証1,化学
4202,ダイセル,東証1,化学
4203,住友ベークライト,東証1,化学
4204,積水化学工業,東証1,化学
4205,日本ゼオン,東証1,化学
4206,アイカ工業,東証1,化学
4208,宇部興産,東証1,化学
4212,積水樹脂,東証1,化学
4216,旭有機材,東証1,化学
4217,日立化成,東証1,化学
4218,ニチバン,東証1,化学
4220,リケンテクノス,東証1,化学
4221,大倉工業,東証1,化学
4222,児玉化学工業,東証2,化学
4224,ロンシール工業,東証2,化学
4228,積水化成品工業,東証1,化学
4229,群栄化学工業,東証1,化学
4231,タイガースポリマー,東証1,化学
4234,サンエー化研,ｼﾞｬｽﾀﾞｯｸ,化学
4235,ウルトラファブリックス･HD,ｼﾞｬｽﾀﾞｯｸ,化学
4237,フジプレアム,ｼﾞｬｽﾀﾞｯｸ,化学
4238,ミライアル,東証1,化学
4240,クラスターテクノロジー,東証JQG,化学
4241,アテクト,ｼﾞｬｽﾀﾞｯｸ,化学
4242,タカギセイコー,ｼﾞｬｽﾀﾞｯｸ,化学
4243,ニックス,ｼﾞｬｽﾀﾞｯｸ,化学
4245,ダイキアクシス,東証1,化学
4246,ダイキョーニシカワ,東証1,化学
4248,竹本容器,東証1,化学
4249,森六HD,東証1,化学
4251,恵和,東証2,化学
4272,日本化薬,東証1,化学
4274,細谷火工,ｼﾞｬｽﾀﾞｯｸ,化学
4275,カーリットHD,東証1,化学
4282,EPSHD,東証1,サービス業
4284,ソルクシーズ,東証1,情報・通信業
4286,レッグス,東証1,サービス業
4287,ジャストプランニング,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
4288,アズジェント,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
4290,プレステージ･インターナショナル,東証1,サービス業
4293,セプテーニ･HD,ｼﾞｬｽﾀﾞｯｸ,サービス業
4295,フェイス,東証1,情報・通信業
4298,プロトコーポレーション,東証1,情報・通信業
4299,ハイマックス,東証1,情報・通信業
4301,アミューズ,東証1,サービス業
4304,Eストアー,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
4307,野村総合研究所,東証1,情報・通信業
4308,Jストリーム,マザーズ,情報・通信業
4310,ドリームインキュベータ,東証1,サービス業
4312,サイバネットシステム,東証1,情報・通信業
4316,ビーマップ,東証JQG,情報・通信業
4317,レイ,ｼﾞｬｽﾀﾞｯｸ,サービス業
4318,クイック,東証1,サービス業
4319,TAC,東証1,サービス業
4320,CEHD,東証1,情報・通信業
4321,ケネディクス,東証1,サービス業
4323,日本システム技術,東証1,情報・通信業
4324,電通,東証1,サービス業
4326,インテージHD,東証1,情報・通信業
4327,日本エス･エイチ･エル,ｼﾞｬｽﾀﾞｯｸ,サービス業
4331,テイクアンドギヴ･ニーズ,東証1,サービス業
4333,東邦システムサイエンス,東証1,情報・通信業
4334,ユークス,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
4335,アイ･ピー･エス,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
4336,クリエアナブキ,ｼﾞｬｽﾀﾞｯｸ,サービス業
4337,ぴあ,東証1,サービス業
4341,西菱電機,東証2,サービス業
